"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Localization Strategy for Low-cost UAVs Sewers Inspection","P. Maisto; V. Scognamiglio; M. Selvaggio; V. Lippiello","Department of Electrical Engineering and Information Technology, PRISMA Lab, University of Naples Federico II, Naples, Italy; Department of Electrical Engineering and Information Technology, PRISMA Lab, University of Naples Federico II, Naples, Italy; Department of Electrical Engineering and Information Technology, PRISMA Lab, University of Naples Federico II, Naples, Italy; Department of Electrical Engineering and Information Technology, PRISMA Lab, University of Naples Federico II, Naples, Italy",2026 IEEE/SICE International Symposium on System Integration (SII),"27 Feb 2026","2026","","","806","812","Inspecting sewers represents a significant challenge as these environments pose considerable safety risks to human operators. In this view, drones capable of autonomous flight can be used to perform inspection tasks reducing human exposure. However, sewer environments are typically confined, featureless, and poorly lit, hence, standard algorithms for the localization in GNSS-denied environments, such as Visual-Inertial Odometry (VIO), often fail. In addition, drone localization is further complicated by rotor-induced turbulence, and vibrations, that affect sensor measurements. This paper presents a low-cost multisensor-based method for robust pose reconstruction of Unmanned Aerial Vehicles (UAVs) to enable reliable navigation in visually degraded, GPS-denied environments. The proposed framework leverages environmental geometry, specifically obstacle and wall distances, to estimate relative motion and correct drift via a speed control strategy that maximizes the distance from any obstacle. The approach is validated through both simulation and real-world experiments, demonstrating its effectiveness in representative scenarios.","2474-2325","978-1-6654-5784-2","10.1109/SII64115.2026.11404663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11404663","","Location awareness;Vibrations;Navigation;Velocity control;System integration;Inspection;Vibration measurement;Autonomous aerial vehicles;Standards;Drones","","","","20","IEEE","27 Feb 2026","11-14 Jan. 2026","11-14 Jan. 2026","IEEE","IEEE Conferences"
"Robust visual-inertial localization with weak GPS priors for repetitive UAV flights","J. Surber; L. Teixeira; M. Chli","ETH, Vision for Robotics Lab, Zurich, Switzerland; ETH, Vision for Robotics Lab, Zurich, Switzerland; ETH, Vision for Robotics Lab, Zurich, Switzerland",2017 IEEE International Conference on Robotics and Automation (ICRA),"24 Jul 2017","2017","","","6300","6306","Agile robots, such as small Unmanned Aerial Vehicles (UAVs) can have a great impact on the automation of tasks, such as industrial inspection and maintenance or crop monitoring and fertilization in agriculture. Their deploy-ability, however, relies on the UAV's ability to self-localize with precision and exhibit robustness to common sources of uncertainty in real missions. Here, we propose a new system using the UAV's onboard visual-inertial sensor suite to first build a Reference Map of the UAV's workspace during a piloted reconnaissance flight. In subsequent flights over this area, the proposed framework combines keyframe-based visual-inertial odometry with novel geometric image-based localization, to provide a real-time estimate of the UAV's pose with respect to the Reference Map paving the way towards completely automating repeated navigation in this workspace. The stability of the system is ensured by decoupling the local visual-inertial odometry from the global registration to the Reference Map, while GPS feeds are used as a weak prior for suggesting loop closures. The proposed framework is shown to outperform GPS localization significantly and diminishes drift effects via global image-based alignment for consistently robust performance.","","978-1-5090-4633-1","10.1109/ICRA.2017.7989745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7989745","","Global Positioning System;Estimation;Cameras;Robots;Three-dimensional displays;Optimization;Uncertainty","","42","","19","IEEE","24 Jul 2017","29 May-3 June 2017","29 May-3 June 2017","IEEE","IEEE Conferences"
"UAV Trajectory Evaluation in Large Industrial Environments: A Cost-Effective Solution","J. G. Hansen; M. Heiß; M. Kozlowski; E. Kayacan","Department of Electrical and Computer Engineering, Artificial Intelligence in Robotics Laboratory (Air Lab), Aarhus University, Aarhus C, Denmark; Department of Electrical and Computer Engineering, Artificial Intelligence in Robotics Laboratory (Air Lab), Aarhus University, Aarhus C, Denmark; Department of Electrical and Computer Engineering, Artificial Intelligence in Robotics Laboratory (Air Lab), Aarhus University, Aarhus C, Denmark; Department of Electrical and Computer Engineering, Artificial Intelligence in Robotics Laboratory (Air Lab), Aarhus University, Aarhus C, Denmark",2022 European Control Conference (ECC),"5 Aug 2022","2022","","","1336","1341","The use of unmanned aerial vehicles (UAVs) for autonomous inspection tasks has become more prominent in recent years. To make the most of the autonomous inspection, the parameters governing control, perception and navigation of the robot should be tuned precisely to the necessary task. Currently, the use of motion capture (mocap) systems is the norm when performing the stringent evaluation of simultaneous localization and mapping (SLAM) and advanced controllers. In this paper, we address the use of a cost-effective solution to ground-truthing and evaluation of said algorithms in large industrial environments. To this end, we use fiducial markers, deployed in known locations, in order to estimate the pose of the vehicle in 6 degrees-of-freedom (6DOF) and test them against a state-of-the-art mocap system. We additionally test the method in the field, by deploying the markers to the environment of interest and applying widely used SLAM implementations to confirm its efficacy by evaluating their performance in two emulated inspection task scenarios. We find that our method is comparable in performance to the state-of-the-art mocap systems without the need for laborious calibration and is capable of providing a pose estimate for evaluating SLAM and underlying UAV control methods.","","978-3-9071-4407-7","10.23919/ECC55457.2022.9838352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9838352","","Simultaneous localization and mapping;Navigation;Europe;Inspection;Autonomous aerial vehicles;Motion capture;Fiducial markers","","5","","26","","5 Aug 2022","12-15 July 2022","12-15 July 2022","IEEE","IEEE Conferences"
"A Transformer-Based Physics-Informed Network for Trajectory Prediction and State Estimation","N. Souli; Y. Grigoriou; P. Chrysanthou; P. Kolios; G. Ellinas","Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence (KIOS CoE), University of Cyprus, Nicosia, Cyprus; Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence (KIOS CoE), University of Cyprus, Nicosia, Cyprus; Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence (KIOS CoE), University of Cyprus, Nicosia, Cyprus; Department of Computer Science and the KIOS CoE, University of Cyprus; Department of Electrical and Computer Engineering, KIOS Research and Innovation Center of Excellence (KIOS CoE), University of Cyprus, Nicosia, Cyprus",2025 IEEE International Smart Cities Conference (ISC2),"23 Dec 2025","2025","","","1","6","The rapid progress in the field of Unmanned Aerial Vehicle (UAV) technology has gained significant interest from both the industry and the research community, paving the way for new opportunities in various applications, including monitoring of critical infrastructures, object avoidance, autonomous deliveries, and search-and-rescue missions. However, UAV operations are heavily influenced by environmental factors and sensor failures, necessitating a reliable and precise framework for state identification and trajectory prediction. This work presents a novel real-time onboard UAV system designed to achieve the main objectives of state identification and trajectory prediction, utilizing a lightweight multi-task learning model based on a Transformer-based physics-informed neural network framework. The proposed framework leverages the shared feature learning capabilities of a Transformer-based network and a physics-informed loss function to accurately achieve both the classification of drone states and trajectory forecasting objectives. This framework is trained and evaluated using a custom-designed dataset that encompasses drone movements across different outdoor scenarios. A prototype system is subsequently developed and thoroughly tested in real-world experiments, showcasing its enhanced performance compared to existing methods.","2687-8860","979-8-3315-5773-7","10.1109/ISC266238.2025.11293253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11293253","","Training;Accuracy;Smart cities;Predictive models;Autonomous aerial vehicles;Transformers;Real-time systems;Trajectory;State estimation;Drones","","","","36","IEEE","23 Dec 2025","6-9 Oct. 2025","6-9 Oct. 2025","IEEE","IEEE Conferences"
"High-Altitude Visual Feature-Based Multi-Sensor Tightly Coupled Pose Estimation","Y. Yuan; H. Liu; X. Liu","Aviation Industry Computing Technology Research Institute, Xi’an, China; Aviation Industry Computing Technology Research Institute, Xi’an, China; Aviation Industry Computing Technology Research Institute, Xi’an, China","2025 9th International Conference on Vision, Image and Signal Processing (ICVISP)","31 Mar 2026","2025","","","1","5","To address the challenges of visual sparsity, scale drift, and accumulated inertial errors in high-altitude aerial navigation, this paper proposes a tightly coupled multi-sensor pose estimation method based on high-altitude visual features. The proposed system first employs a target-assisted spatial alignment technique to automatically calibrate the extrinsic parameters between the visual sensor and the inertial measurement unit (IMU), ensuring spatial consistency of multi-source data. A robust feature extraction and matching module is then designed to adapt to high-altitude urban textures, which are fused with IMU data through a tightly coupled optimization framework for high-frequency and high-accuracy pose estimation. Furthermore, a combination of local sliding-window optimization and global factor graph optimization is adopted to suppress cumulative drift and achieve globally consistent mapping. Experimental results demonstrate that the proposed method outperforms state-of-the-art algorithms such as VINS-Mono and ORB-SLAM3, achieving 23.6% improvement in pose accuracy and $18.5 \%$ enhancement in real-time performance under rapid attitude variations and unstable illumination. This work provides a reliable technical foundation for high-altitude UAV autonomous navigation, urban inspection, and aerial situational awareness.","","979-8-3315-5682-2","10.1109/ICVISP68610.2025.11451677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11451677","High-altitude visual features;Multi-sensor fusion;Tightly coupled pose estimation;Graph optimization;UAV navigation","Visualization;Measurement units;Pose estimation;Signal processing algorithms;Lighting;Signal processing;Autonomous aerial vehicles;Real-time systems;Reliability;Optimization","","","","10","IEEE","31 Mar 2026","28-30 Nov. 2025","28-30 Nov. 2025","IEEE","IEEE Conferences"
"Aerial Swarm Search for GNSS-Denied Maritime Surveillance","S. Yang; D. Lin; S. He; I. Hussain; L. Seneviratne","School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; School of Aerospace Engineering, Beijing Institute of Technology, Beijing, China; Centre for Autonomous Robotic Systems, Khalifa University, Abu Dhabi, UAE; Centre for Autonomous Robotic Systems, Khalifa University, Abu Dhabi, UAE",IEEE Transactions on Aerospace and Electronic Systems,"10 Jun 2024","2024","60","3","3442","3453","The purpose of this article is to introduce an unmanned aerial swarm control strategy that has been developed specifically for the MBZIRC 2024 competition inspection task, which requires the UAV swarm to search within a global navigation satellite system-denied ocean space. The proposed approach utilizes control barrier functions (CBF) to encode the constraints and control each unmanned aerial vehicle (UAV) using an optimization-based method. We first establish the UAV model by taking energy consumption and the need for charging into consideration, which are then encoded using CBF. Following this, we propose a CBF that ensures each UAV maintains a certain distance from two selected UAVs or beacons on the coast, enabling the swarm to maintain a certain formation using localization algorithms by measuring relative distances. Finally, we present a CBF that integrates Lloyd's algorithm and variable density to enable the swarm to exhibit searching behavior. In numerical simulation with 14 searching UAVs and 3 beacon UAVs, the proposed algorithm shows great scalability and can successfully search the entire task area within 5 min, capable of handling all the constraints, i.e., localization distance, collision avoidance, energy consumption, and task performance, in the considered problem. In our physical experiment with 3 searching UAVs and 3 beacons, the proposed algorithm can accomplish the searching mission within 30 s.","1557-9603","","10.1109/TAES.2024.3362764","National Key Research and Development Program of China(grant numbers:2022YFE0204400); National Natural Science Foundation of China(grant numbers:52302449); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423249","Aerial maritime surveillance;control barrier functions (CBF);global navigation satellite system (GNSS)-denied environment;unmanned aerial vehicle (UAV) swarm","Autonomous aerial vehicles;Location awareness;Task analysis;Visualization;Sensors;Search problems;Energy consumption","","14","","42","IEEE","6 Feb 2024","June 2024","","IEEE","IEEE Journals"
"Drones Guiding Drones: Cooperative Navigation of a Less-Equipped Micro Aerial Vehicle in Cluttered Environments","V. Pritzl; M. Vrba; Y. Stasinchuk; V. Krátký; J. Horyna; P. Štěpán; M. Saska","Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic; Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic; Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic; Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic; Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic; Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic; Department of Cybernetics, Faculty of Electrical Engineering, Multi-Robot Systems Group, Czech Technical University in Prague, Czech Republic",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"25 Dec 2024","2024","","","10597","10604","Reliable deployment of Unmanned Aerial Vehicles (UAVs) in cluttered unknown environments requires accurate sensors for Global Navigation Satellite System (GNSS)-denied localization and obstacle avoidance. Such a requirement limits the usage of cheap and micro-scale vehicles with constrained payload capacity if industrial-grade reliability and precision are required. This paper investigates the possibility of offloading the necessity to carry heavy sensors to another member of the UAV team while preserving the desired capability of the smaller robot intended for exploring narrow passages. A novel cooperative guidance framework offloading the sensing requirements from a minimalistic secondary UAV to a superior primary UAV is proposed. The primary UAV constructs a dense occupancy map of the environment and plans collision-free paths for both UAVs to ensure reaching the desired secondary UAV’s goals even in areas not accessible by the bigger robot. The primary UAV guides the secondary UAV to follow the planned path while tracking the UAV using Light Detection and Ranging (LiDAR)-based relative localization. The proposed approach was verified in real-world experiments with a heterogeneous team of a 3D LiDAR-equipped primary UAV and a micro-scale camera-equipped secondary UAV moving autonomously through unknown cluttered GNSS-denied environments with the proposed framework running fully on board the UAVs.","2153-0866","979-8-3503-7770-5","10.1109/IROS58592.2024.10802770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802770","","Location awareness;Accuracy;Three-dimensional displays;Navigation;Service robots;Autonomous aerial vehicles;Robot sensing systems;Sensors;Reliability;Collision avoidance","","5","","37","IEEE","25 Dec 2024","14-18 Oct. 2024","14-18 Oct. 2024","IEEE","IEEE Conferences"
"Long-Range Dense Mapping With Enhanced Accuracy via a Flying Variable-Baseline Stereo System","Z. Wang; W. Dong","State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Sensors Journal,"17 Sep 2025","2025","25","18","35131","35143","For unmanned aerial vehicle (UAV) swarms equipped with cameras operating in large-scale urban environments, long-range mapping is an effective approach to enhancing safe navigation. Conventional stereo vision systems are inherently limited by their compact structure and fixed baselines, restricting their effective sensing range. This article presents flying variable-baseline stereo (VB-stereo)—a collaborative stereo vision system that utilizes two coordinately flying UAVs to form a spatially flexible stereo configuration for long-range dense mapping. We first propose a collaborative variable-baseline stereo mapping (CVBSM) framework that integrates online variable-baseline (VB) estimation, cross-agent feature association, and sparse-to-dense exponential fitting to achieve long-range dense mapping. Building on this framework, we further analyze the optimal stereo baseline that balances geometric parallax and baseline estimation uncertainty to enhance mapping accuracy across different scene depths. Extensive real-world experiments demonstrate that our approach enables dense 3-D reconstruction up to 70 m, achieving relative errors between 2.3% and 9.6%. Notably, the optimal baseline length is shown to increase consistently with scene depth. This provides effective guidance for adaptive baseline selection, thereby enhancing reconstruction accuracy across targeted depth intervals. These results demonstrate the potential of VB collaboration for long-range UAV perception and open new directions for future research in aerial swarm mapping.Video: https: //youtu.be/AfTm54kpcSo","1558-1748","","10.1109/JSEN.2025.3596433","National Key Research and Development Program of China(grant numbers:2024YFB4707400); Shanghai Rising-Star Program(grant numbers:22QA1404400); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11123619","3-D visual mapping;collaborative flying robots;variable-baseline stereo (VB-stereo) sensors","Accuracy;Autonomous aerial vehicles;Visualization;Estimation;Cameras;Collaboration;Pipelines;Intelligent sensors;Uncertainty;Training","","","","28","IEEE","12 Aug 2025","15 Sept.15, 2025","","IEEE","IEEE Journals"
"Vision-Based UAV Localization by Aerial and Satellite Image Matching","H. -Y. Lin; P. -H. Chen; C. -W. Yeh","Department of Computer Science and Information Engineering, National Taipei University of Technology, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taipei University of Technology, Taipei, Taiwan; Department of Computer Science and Information Engineering, National Taipei University of Technology, Taipei, Taiwan",IEEE Access,"24 Apr 2026","2026","14","","61452","61461","The deployment of Unmanned Aerial Vehicles (UAVs) in tasks such as urban surveillance, disaster assessment, and logistics necessitates enhanced autonomous navigation capabilities. Traditionally, the localization of UAVs relies on Global Navigation Satellite Systems (GNSS). However, in urban canyons, indoor environments, or bad weather conditions, GNSS signals are prone to obstruction and interference, leading to degraded navigation performance. To overcome the limitations, the development of GNSS-denied alternative localization techniques has become an important topic. In this paper we present an UAV visual localization and heading estimation in GNSS-denied environments by matching the UAV overhead imagery with satellite maps. The proposed NavCLIP constructs an image database using satellite data and retrieves the best-matched by querying with aerial images. A homography matrix is then employed to estimate the UAV location and yaw angle. Due to the lack of publicly available datasets, this work collects an aerial and satellite image dataset (UAV-Satellite Dataset) for training and validation. The experimental results show strong localization performance on the Google Earth dataset, while UAV flight experiments exhibit larger localization errors under the real-world conditions. In addition, the proposed technique improves over the GeoCLIP baseline and achieves low heading estimation error. Code and dataset are available on GitHub at https://github.com/PHChenGit/NavCLIP","2169-3536","","10.1109/ACCESS.2026.3684630","Ministry of Science and Technology of Taiwan(grant numbers:NSTC 113-2221-E-027-092); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11482416","Unmanned aerial vehicle;GNSS-denied localization;visual positioning;satellite-aerial image matching","Satellite images;Earth Observing System;Payloads;Feeds;Circuits and systems;Internet;Location awareness;Pixel;Communication systems;Computer networks","","","","34","CCBY","16 Apr 2026","2026","","IEEE","IEEE Journals"
"Augmented Ultra-Wideband Localization for Quadrotor UAV: Disturbance Rejection and Credibility Quantification","J. Jia; W. Li; X. Yu; Y. Wang; K. Guo; L. Guo","Hangzhou Innovation Institute, Beihang University, Hangzhou, China; Hangzhou Innovation Institute, Beihang University, Hangzhou, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Astronautics, Beihang University, Beijing, China; School of Aeronautic Science and Engineering, Beihang University, Beijing, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",IEEE Transactions on Industrial Electronics,"3 Apr 2026","2026","73","5","7795","7805","Uninterrupted and accurate indoor localization without global navigation satellite systems (GNSS) is a challenging problem for quadrotor unscrewed aerial vehicles (UAVs). In this article, a plug-and-play ultra-wideband (UWB)-augmented localization scheme is developed, which is characterized by: 1) the embedded UAV dynamics to enrich information sources; 2) the composite disturbance filtering (CDF) algorithm for refined antidisturbance position estimation under UAV dynamic uncertainties and UWB measurement noises; and 3) a novel localization credibility metric which takes both system configuration and real-time algorithm operation status into account. By virtue of refined disturbance rejection and real-time credibility quantification, the designed UWB-augmented module allows for seamless integration into the existing UAV localization systems like the visual-inertial odometry (VIO), enhancing the overall localization performance with high-credibility UWB data. The effectiveness of the proposed scheme is demonstrated by developing and testing a UWB-augmented VIO localization system for quadrotor UAVs.","1557-9948","","10.1109/TIE.2025.3642438","National Natural Science Foundation of China(grant numbers:62425302,62388101,62373033,62595803); National Key R&D Program of China(grant numbers:2024YFB3909400); China Postdoctoral Science Foundation(grant numbers:2025M784309); Natural Science Foundation of Zhejiang Province(grant numbers:LZ23F030011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11319206","Composite disturbance filtering (CDF);credibility quantification;plug-and-play;quadrotor unscrewed aerial vehicle (UAV);ultra-wideband (UWB)-augmented localization","Location awareness;Autonomous aerial vehicles;Quadrotors;Estimation;Real-time systems;Distance measurement;Nonlinear optics;Measurement;Heuristic algorithms;Uncertainty","","","","37","IEEE","30 Dec 2025","May 2026","","IEEE","IEEE Journals"
"A Modified DSSFN Architecture with E-FDPC Band Selection and Intermediate Cross-Attention for UAV-Based Hyperspectral Image Classification","D. Katkalo","Educational and Research Institute for Applied System Analysis, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Kyiv, Ukraine",2025 IEEE 8th International Conference on Methods and Systems of Navigation and Motion Control (MSNMC),"24 Feb 2026","2025","","","1","5","Classifying hyperspectral images from unmanned aerial vehicles for real-time navigation is challenged by high data dimensionality. Architectures like the Dual-Stream Self-Attention Fusion Network are often limited by heuristic band selection and late-stage fusion. We propose a modified DSSFN architecture as a navigation-grade perception module, integrating adaptive E-FDPC band selection for efficiency and a bidirectional cross-attention mechanism for early-stage fusion. This approach produces spatially coherent semantic maps, and experiments on three standard datasets show it achieves superior or highly competitive accuracy over the baseline Dual-Stream Self-Attention Fusion Network, demonstrating its potential for robust, perception-driven unmanned aerial vehicle navigation.","","979-8-3315-6961-7","10.1109/MSNMC61130.2025.11399719","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11399719","hyperspectral image classification;deep learning;unmanned aerial vehicle navigation;feature fusion;band selection;cross-attention;semantic mapping","Training;Navigation;Semantics;Spatial coherence;Autonomous aerial vehicles;Real-time systems;Planning;Standards;Hyperspectral imaging;Image classification","","","","25","IEEE","24 Feb 2026","21-24 Oct. 2025","21-24 Oct. 2025","IEEE","IEEE Conferences"
